V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-10
2,610,160,183,300,597.86,6,2700,460
2,1710,440,171,100,798.68,5,630,120
2,4230,820,169.2,40,780.14,7,200,160
2,1540,400,154,100,771.33,5,700,110
2,760,200,106.4,140,616.47,6,940,190
2,690,160,89.7,130,770.35,8,990,190
2,4330,1110,86.6,20,421.26,4,170,30
2,450,120,58.5,130,913.31,7,690,160
2,370,120,40.7,110,585.22,5,1200,140
2,680,260,20.4,30,639.5,3,170,40
3,7500,1260,2775,370,820.91,11,1800,700
3,4600,1000,2668,580,3436.93,11,1300,900
3,6000,1320,1800,300,752.65,5,2800,400
3,3100,640,1798,580,647.79,7,4600,700
3,4840,930,1452,300,541.61,7,3300,430
3,5110,980,1430.8,280,505.51,7,2800,410
3,4090,900,1104.3,270,655.93,5,2200,370
3,4070,1040,895.4,220,634.42,4,1800,290
3,2140,400,813.2,380,614,5,3200,530
3,1500,350,810,540,637.93,6,4300,650
3,3110,690,777.5,250,720.93,5,2600,340
3,2530,560,759,300,722.86,6,1800,330
3,3240,630,680.4,210,715.52,7,2300,290
3,1820,400,655.2,360,474.74,5,3400,450
3,2120,470,572.4,270,650.57,6,2900,300
3,2170,480,542.5,250,854.84,6,1500,340
3,3280,720,459.2,140,805.03,6,1200,150
3,4000,880,400,100,750.7,5,540,110
3,2030,450,365.4,180,565.58,6,1800,260
3,5200,800,208,40,958.39,13,120,130
3,1820,400,200.2,110,753.66,6,920,140
3,1610,410,177.1,110,585.22,5,1700,140
3,2260,440,158.2,70,569.44,7,620,80
3,1090,280,152.6,140,777.06,5,1500,180
3,2100,500,126,60,1158.47,11,300,180
3,1710,440,119.7,70,525.49,5,880,80
3,1380,360,110.4,80,735.87,5,630,100
3,1150,300,80.5,70,718.57,5,620,90
3,820,260,49.2,60,644.47,4,630,90
3,580,150,17.4,30,631.89,6,240,70
4,1800,500,954,530,626.12,7,1900,650
4,2100,380,819,390,601.08,4,2800,510
4,3350,800,804,240,369.9,7,1300,370
4,2740,610,767.2,280,542.42,6,1500,440
4,2100,450,546,260,816.95,5,600,330
4,1500,330,540,360,867.43,7,1300,440
4,1450,336,536.5,370,371.34,4,2300,390
4,2120,470,508.8,240,817.74,6,1100,350
4,1450,336,507.5,350,442.61,2,1800,400
4,2050,700,492,240,527.22,10,2100,450
4,1540,340,446.6,290,727.56,6,1500,430
4,1900,550,437,230,1362.92,7,550,320
4,1895,550,379,200,1446.67,6,450,250
4,1130,260,339,300,511.56,3,1400,390
4,1200,1100,300,250,451.35,7,980,370
4,1660,430,282.2,170,728.63,5,1200,240
4,1600,360,272,170,728.63,7,1200,310
4,2070,400,269.1,130,723.64,7,730,170
4,1650,432,264,160,851.23,5,550,200
4,2410,530,216.9,90,525.58,6,640,130
4,2300,510,207,90,536.26,6,580,110
4,1900,420,190,100,575.02,6,720,110
4,1650,510,181.5,110,651.83,3,820,120
4,1560,400,171.6,110,878.55,5,420,130
4,1052,250,168.32,160,948.12,6,770,200
4,1190,310,130.9,110,642.37,5,870,150
4,930,240,93,100,770.16,5,460,110
4,720,190,72,100,798.68,6,490,120
4,390,100,62.4,160,547.1,8,1000,220
4,1430,440,57.2,40,772.31,4,280,120
4,1430,320,42.9,30,477.9,6,170,30
4,1800,560,36,20,459.54,4,110,30
4,440,120,13.2,30,779.57,8,160,60
5,5280,1160,1584,300,659.02,5,1500,420
5,3650,940,1168,320,802.83,5,1500,420
5,3180,700,1049.4,330,732.16,5,1600,430
5,6740,1300,674,100,603.07,6,780,130
5,2190,490,503.7,230,786.46,6,1200,320
5,1700,380,493,290,494.51,7,1700,450
5,1810,400,488.7,270,538.07,6,2000,420
5,2010,520,381.9,190,814.35,4,1200,240
5,2630,580,315.6,120,599.1,6,850,160
5,2500,640,300,120,599.1,4,810,140
5,990,260,297,300,581.16,6,1700,470
5,2330,600,256.3,110,792.82,4,390,120
5,2140,470,235.4,110,663.38,6,660,140
5,2670,690,213.6,80,600.56,5,340,90
5,2370,610,189.6,80,617.07,4,380,90
5,1190,310,107.1,90,632.29,5,500,110
5,2290,710,91.6,40,637.2,3,190,70
5,2370,730,71.1,30,400.73,3,210,90
5,870,230,69.6,80,650.79,6,320,100
5,1040,270,41.6,40,534.3,5,210,60
6,3050,670,1006.5,330,508.61,5,4300,460
6,2880,740,662.4,230,579.07,5,2300,300
6,1820,400,546,300,541.61,7,2600,430
6,3260,720,489,150,642.91,5,1500,220
6,1800,400,378,210,659.84,6,2000,300
6,1450,320,377,260,443.35,7,3100,410
6,760,200,174.8,230,786.46,11,810,400
6,1330,300,172.9,130,649.02,7,1100,190
6,1910,420,152.8,80,425.62,6,1000,110
6,1020,270,142.8,140,829.6,6,840,180
6,920,210,119.6,130,649.02,8,1300,200
6,840,220,100.8,120,690.02,6,770,130
6,1040,270,93.6,90,718.81,5,810,110
6,360,100,86.4,240,409.25,8,3300,390
6,540,140,70.2,130,759.17,7,1400,180
6,850,220,68,80,548.12,5,870,100
6,1310,340,52.4,40,534.3,5,470,70
6,1070,210,42.8,40,772.31,9,430,110
6,200,60,6,30,718.79,11,230,140
7,7010,1200,1472.1,210,718.07,7,1200,300
7,1980,440,495,250,549.19,6,1700,360
7,2190,420,459.9,210,652.57,7,1000,300
7,3270,510,327,100,579.84,9,230,90
7,1990,440,258.7,130,721.55,6,840,180
7,770,170,231,300,728.81,7,1400,440
7,1450,320,203,140,600.05,7,840,250
7,1380,310,193.2,140,744.83,7,700,200
7,1060,240,190.8,180,784.87,7,1100,250
7,2110,470,189.9,90,620.86,5,490,110
7,1540,400,154,100,555.04,5,870,140
7,2240,430,134.4,60,434,8,390,90
7,350,143,122.5,350,442.61,3,1800,420
7,1310,290,104.8,80,578.67,7,480,100
7,940,250,94,100,723.33,6,550,120
7,360,100,86.4,240,409.25,8,1600,400
7,2390,610,71.7,30,585.11,4,170,50
7,900,150,63,70,751.88,6,210,100
7,920,290,46,50,513.26,4,190,60
7,680,180,40.8,60,644.47,6,300,90
7,360,80,21.6,60,644.47,11,330,100
8,1060,280,349.8,330,795.15,5,1600,360
8,1580,363,331.8,210,526.86,8,1200,350
8,1580,363,284.4,180,615.49,8,770,250
8,1300,290,247,190,735.11,7,1100,300
8,780,200,241.8,310,753.11,6,1400,400
8,1510,390,241.6,160,654.09,5,1100,210
8,670,180,154.1,230,577.03,6,1700,350
8,1540,340,154,100,592.57,7,710,140
8,530,140,148.4,280,542.42,7,1800,470
8,770,200,146.3,190,590.42,6,1300,240
8,1050,270,115.5,110,612.31,6,840,140
8,450,120,103.5,230,505.25,7,1700,390
8,1020,320,102,100,575.02,4,550,110
8,640,250,96,150,654.06,2,1100,170
8,620,160,62,100,436.04,6,1100,150
8,1580,410,47.4,30,585.11,5,210,70
8,550,140,44,80,578.67,7,530,100
8,400,110,40,100,499.25,7,880,160
8,270,90,24.3,90,693.15,7,480,100
8,510,160,15.3,30,654.64,5,150,50
8,470,120,14.1,30,579.23,7,330,90
9,1680,370,285.6,170,490.23,6,800,260
9,500,130,145,290,523.56,7,920,420
9,970,250,97,100,583.97,6,360,140
9,520,120,62.4,120,667.98,9,360,170
10,950,250,114,120,514.33,5,500,170
10,660,170,112.2,170,490.23,6,680,260
10,450,120,54,120,490.57,8,500,210
10,280,90,44.8,160,388.7,6,710,210
10,300,80,33,110,536.64,9,670,180
10,490,160,14.7,30,467.3,5,100,50
10,430,100,8.6,20,436.43,10,90,90
11,2650,590,238.5,90,449.32,5,810,110
11,870,230,174,200,481.91,6,1300,220
11,220,70,30.8,140,478.71,7,770,210
11,600,160,12,20,392.14,6,110,60
12,1810,470,488.7,270,523.05,5,860,410
12,2390,530,239,100,499.25,6,400,140
12,810,210,194.4,240,532.48,6,900,330
12,1370,300,109.6,80,476.68,7,640,100
12,980,250,107.8,110,471.47,5,780,160
12,990,310,99,100,499.25,4,550,120
12,540,140,75.6,140,478.71,6,900,200
12,960,250,67.2,70,417.09,5,350,80
12,380,100,60.8,160,547.1,8,650,230
12,700,180,42,60,488.09,6,250,80
12,280,80,22.4,80,444.03,9,650,140
12,1000,260,20,20,436.43,5,80,30
12,230,60,18.4,80,460.02,10,350,110
13,982.5,202.5,353.7,360,554.84,5,1900,500
13,1780,390,231.4,130,442.94,7,510,190
13,1230,270,98.4,80,474.06,6,680,100
13,430,110,81.7,190,476.68,8,820,310
13,520,140,78,150,466.12,7,1200,220
13,550,140,77,140,439.9,7,1000,210
13,960,220,67.2,70,405.89,7,140,60
13,700,220,63,90,521.86,4,220,70
13,670,180,46.9,70,539.11,6,290,80
13,930,240,46.5,50,513.26,6,220,80
13,740,190,37,50,361.67,6,340,70
13,620,160,31,50,342.57,6,320,70
13,730,230,14.6,20,397.43,5,150,30
14,840,215,218.4,260,1495.05,10,440,350
14,1080,240,205.2,190,343.02,6,1000,270
14,2490,550,199.2,80,467.18,6,700,120
14,670,180,174.2,260,469.4,7,1100,380
14,720,190,165.6,230,354.48,6,1200,350
14,520,140,109.2,210,323.66,6,1000,320
14,1110,250,88.8,80,390.29,7,900,120
14,580,150,75.4,130,442.94,7,1100,190
14,580,150,75.4,130,531.45,6,870,230
14,1070,280,74.9,70,539.11,6,260,80
14,370,100,74,200,481.91,8,650,280
14,730,190,65.7,90,542.77,6,490,110
14,850,220,59.5,70,422.15,5,520,80
14,940,250,56.4,60,462.8,5,190,70
14,800,210,56,70,372.41,6,440,100
14,920,290,36.8,40,325.39,4,370,50
14,470,120,32.9,70,493.59,7,380,90
14,310,80,31,100,487.86,9,770,170
14,330,90,23.1,70,414.8,9,320,100
14,760,240,15.2,20,459.54,4,80,30
14,370,120,3.7,10,196.07,5,180,20
15,1120,290,358.4,320,421.99,6,1600,430
15,950,250,171,180,358.72,5,580,240
15,620,160,136.4,220,375.15,6,1100,330
15,460,120,96.6,210,461.32,7,1300,360
15,1230,320,86.1,70,479.6,5,240,90
15,430,110,73.1,170,409.62,7,650,210
15,750,200,45,60,423.07,6,360,80
15,400,110,40,100,428.61,8,740,160
15,350,110,35,100,499.25,6,550,130
15,360,100,28.8,80,463.87,8,210,70
16,6700,2500,603,90,279.67,9,580,150
16,940,250,244.4,260,400.72,5,1400,370
16,780,200,117,150,432.56,6,1000,230
16,370,120,81.4,220,339.07,5,1600,310
16,810,210,48.6,60,432.44,6,260,80
16,200,100,46,230,445.56,3,820,300
16,450,120,4.5,10,193.08,7,180,50
17,8800,2960,264,30,231.4,8,700,50
17,1410,310,239.7,170,338.79,6,960,270
17,2170,480,195.3,90,439.07,6,340,130
17,1510,330,166.1,110,341.82,6,640,140
17,630,170,163.8,260,342.87,6,1100,350
17,1360,350,149.6,110,374.8,5,400,150
17,470,130,126.9,270,416.13,7,750,430
17,1920,490,115.2,60,411.09,4,300,70
17,540,140,113.4,210,406.81,7,610,350
17,630,160,107.1,170,412.99,6,810,220
17,690,180,89.7,130,444.52,6,540,190
17,1670,370,83.5,50,291.99,7,410,80
17,420,110,79.8,190,307,8,750,310
17,1020,230,71.4,70,408.78,7,290,100
17,1520,470,60.8,40,289.33,4,250,60
17,1750,300,52.5,30,400.73,10,130,60
17,370,80,51.8,140,337.33,14,470,270
17,520,140,36.4,70,305.23,6,330,110
17,530,140,31.8,60,350.38,7,450,90
17,500,110,25,50,459.92,9,160,70
17,970,250,9.7,10,196.07,5,100,20
18,1510,330,392.6,260,400.72,6,960,390
18,1540,340,338.8,220,339.07,6,660,330
18,1980,510,336.6,170,329.32,5,790,260
18,1700,290,323,190,417.38,9,820,340
18,1910,420,305.6,160,388.7,6,810,210
18,1380,360,289.8,210,339.32,5,690,300
18,1120,250,246.4,220,339.07,7,1200,350
18,1210,270,193.6,160,318.86,7,680,260
18,990,260,158.4,160,402.83,5,830,210
18,680,160,142.8,210,379.13,8,900,330
18,950,250,133,140,337.33,6,610,160
18,1230,270,123,100,341.94,6,630,140
18,1160,260,92.8,80,352.27,7,400,120
18,1380,360,82.8,60,245.28,5,430,90
18,450,120,81,180,324.97,7,920,270
18,610,160,73.2,120,302.12,7,440,160
18,600,160,72,120,291.53,6,630,160
18,480,130,62.4,130,403.97,7,420,190
18,550,150,22,40,308.06,7,200,50
18,800,250,8,10,229.77,4,40,20
19,2620,580,786,300,395.62,6,1000,400
19,2690,590,591.8,220,339.07,6,1000,330
19,1820,470,382.2,210,379.13,5,720,300
19,1600,410,368,230,295.21,5,1500,300
19,1160,260,313.2,270,436.27,7,1200,420
19,1650,430,297,180,433.72,5,490,200
19,2020,450,282.8,140,310.61,6,500,200
19,810,210,251.1,310,408.8,6,810,420
19,1150,260,161,140,307.54,7,990,240
19,1000,260,160,160,309.95,5,860,250
19,940,240,141,150,377.65,6,430,220
19,640,170,102.4,160,351.48,6,700,230
19,520,140,57.2,110,341.82,7,420,160
19,540,140,37.8,70,372.41,7,420,100
19,400,130,36,90,307.74,5,330,110
19,830,260,24.9,30,216.22,4,190,40
19,410,110,20.5,50,301.54,8,400,70
19,510,130,20.4,40,300.28,7,150,50
19,1530,390,15.3,10,193.08,5,120,40
19,280,90,11.2,40,325.39,6,180,50
20,14500,4870,3480,240,303.5,11,750,350
20,5500,1760,1100,200,341.04,6,670,300
20,3400,750,714,210,323.66,6,2200,310
20,1560,520,624,400,422.6,6,2300,450
20,14500,5000,580,40,237.03,7,220,60
20,2310,600,531.3,230,303.3,4,1400,280
20,2350,610,423,180,324.97,4,860,220
20,1590,410,333.9,210,323.66,5,1100,290
20,2500,510,325,130,251.84,6,1100,200
20,1900,430,285,150,364.41,7,640,220
20,1840,420,220.8,120,263.61,5,1500,170
20,3080,680,215.6,70,238.51,5,850,100
20,1520,350,212.8,140,310.61,13,1200,300
20,2100,600,210,100,288.37,10,640,190
20,870,230,208.8,240,308.05,5,1300,320
20,1370,360,191.8,140,271.21,5,1200,220
20,1120,290,190.4,170,306.91,5,1600,240
20,910,240,163.8,180,277.42,6,960,270
20,1170,300,163.8,140,337.33,6,510,160
20,1070,280,160.5,150,290.58,6,1500,240
20,1350,350,108,80,251.37,9,830,150
20,580,150,104.4,180,348.7,7,1400,300
20,840,190,67.2,80,273.55,8,650,120
20,900,250,45,50,278.32,7,350,70
20,1390,360,41.7,30,206.95,4,350,40
20,830,260,41.5,50,287.51,4,600,60
20,600,150,36,60,299.55,6,570,80
20,890,230,35.6,40,237.03,6,350,50
20,810,250,32.4,40,274.06,5,570,50
20,810,250,32.4,40,275.94,4,390,50
20,510,160,30.6,60,245.28,9,790,110
20,560,220,22.4,40,319.47,3,350,50
20,1060,330,21.2,20,205.31,4,210,30
